doi,title,abstract,label_included
https://doi.org/10.1017/s1041610216002118,Deep microbleeds and periventricular white matter disintegrity are independent predictors of attention/executive dysfunction in non-dementia patients with small vessel disease,"ABSTRACT Background: Cerebral small vessel disease (SVD) is the common cause of cognitive decline in the old population. MRI can be used to clarify its mechanisms. However, the surrogate markers of MRI for early cognitive impairment in SVD remain uncertain to date. We investigated the cognitive impacts of cerebral microbleeds (CMBs), diffusion tensor imaging (DTI), and brain volumetric measurements in a cohort of post-stroke non-dementia SVD patients. Methods: Fifty five non-dementia SVD patients were consecutively recruited and categorized into two groups as no cognitive impairment (NCI) (n = 23) or vascular mild cognitive impairment (VaMCI) (n = 32). Detailed neuropsychological assessment and multimodal MRI were completed. Results: The two groups differed significantly on Z scores of all cognitive domains (all p &lt; 0.01) except for the language. There were more patients with hypertension (p = 0.038) or depression (p = 0.019) in the VaMCI than those in the NCI group. Multiple regression analysis of cognition showed periventricular mean diffusivity (MD) (β = −0.457, p &lt; 0.01) and deep CMBs numbers (β = −0.352, p &lt; 0.01) as the predictors of attention/executive function, which explained 45.2% of the total variance. Periventricular MD was the independent predictor for either memory (β = −0.314, p &lt; 0.05) or visuo-spatial function (β = −0.375, p &lt; 0.01); however, only small proportion of variance could be accounted for (9.8% and 12.4%, respectively). Language was not found to be correlated with any of the MRI parameters. No correlation was found between brain atrophic indices and any of the cognitive measures. Conclusion: Arteriosclerotic CMBs and periventricular white matter disintegrity seem to be independent MRI surrogated markers in the early stage of cognitive impairment in SVD.",0
https://doi.org/10.5603/nmr.2017.0019,An easy way to increase confidence in beta-amyloid PET evaluation,"In patients with brain atrophy, it is not easy to distinguish pathologic uptake of flutemetamol (FMM) in the gray matter from nonspecific, physiologic uptake in the white matter. In this paper we suggest an easy image processing method.The proof-of-concept study involved three patients with mild cognitive impairment and different graphical findings at FMM-PET. Two-phase FMM-PET was acquired; the early phase represented the perfusion of gray matter, while the late phase depicted the white matter and beta-amyloid load in the gray matter. The border of the gray matter was easily extracted from the early-phase images using thresholding and the isocontour ""Edges"" color table. The late phase was registered with the edge images of the early phase and displayed using alpha-blending.Early- and late-phase image fusion displayed with appropriate color tables is presented in three different cases to illustrate the added value of the suggested approach.Composite late-phase images with enhanced gray matter borders strongly facilitate assessment of beta-amyloid presence in the gray matter. This is especially helpful in patients with brain atrophy.",0
,Rating scales and computed tomography in multi-infarct dementia.,"Forty patients who fulfilled the DSM-III-R criteria for multi-infarct dementia and had a score of 7 points or more on Hachinski ischemia score (HIS) were analyzed with the purpose to correlate the rating scales and CT scans. Among the examined patients there were 32 women with the average age of 68.5 +/- 9.8 years and 8 men with the average age of 68.8 +/- 10.4 years. No significant difference between sex in relation to Folstein Mini-mental state examination (MMSE), Gottfries-Brane-Steen scale (GBS) and Sandoz clinical assessment-geriatric scale (SCAG) was found. There is no correlation of GBS and SCAG on MMSE. With regression analysis a good correlation was found between GBS and SCAG, and we suggest that in such studies only one of these two scales is sufficient. CT abnormalities were found in about 77% of examined patients without difference according to sex. But, GBS score demonstrated greater disability among MID patients with abnormal CT scans than in MID patients with normal CT scans. In medical history of male MID patients completed stroke was significantly more common than among women, while the female MID patients had in their history significantly more frequent transient ischemic attack (TIA). This finding should be checked in a greater patient population. It is stressed that in everyday clinical practice it is necessary to use the diagnosis of multi-infarct dementia, e.g. to differentiate cerebral diseases according to etiology and pathogenesis.",0
https://doi.org/10.2174/1567205013666151116125349,Eigenanatomy on Fractional Anisotropy Imaging Provides White Matter Anatomical Features Discriminating Between Alzheimer's Disease and Late Onset Bipolar Disorder,"Late Onset Bipolar Disorder (LOBD) is the arousal of Bipolar Disorder (BD) at old age (>60) without any previous history of disorders. LOBD is often difficult to distinguish from degenerative dementias, such as Alzheimer Disease (AD), due to comorbidities and common cognitive symptoms. Moreover, LOBD prevalence is increasing due to population aging. Biomarkers extracted from blood plasma are not discriminant because both pathologies share pathophysiological features related to neuroinflammation, therefore we look for anatomical features highly correlated with blood biomarkers that allow accurate diagnosis prediction. This may shed some light on the basic biological mechanisms leading to one or another disease. Moreover, accurate diagnosis is needed to select the best personalized treatment.We look for white matter features which are correlated with blood plasma biomarkers (inflammatory and neurotrophic) discriminating LOBD from AD.A sample of healthy controls (HC) (n=19), AD patients (n=35), and BD patients (n=24) has been recruited at the Alava University Hospital. Plasma biomarkers have been obtained at recruitment time. Diffusion weighted (DWI) magnetic resonance imaging (MRI) are obtained for each subject.DWI is preprocessed to obtain diffusion tensor imaging (DTI) data, which is reduced to fractional anisotropy (FA) data. In the selection phase, eigenanatomy finds FA eigenvolumes maximally correlated with plasma biomarkers by partial sparse canonical correlation analysis (PSCCAN). In the analysis phase, we take the eigenvolume projection coefficients as the classification features, carrying out cross-validation of support vector machine (SVM) to obtain discrimination power of each biomarker effects. The John Hopkins Universtiy white matter atlas is used to provide anatomical localizations of the detected feature clusters.Classification results show that one specific biomarker of oxidative stress (malondialdehyde MDA) gives the best classification performance ( accuracy 85%, F-score 86%, sensitivity, and specificity 87%, ) in the discrimination of AD and LOBD. Discriminating features appear to be localized in the posterior limb of the internal capsule and superior corona radiata.It is feasible to support contrast diagnosis among LOBD and AD by means of predictive classifiers based on eigenanatomy features computed from FA imaging correlated to plasma biomarkers. In addition, white matter eigenanatomy localizations offer some new avenues to assess the differential pathophysiology of LOBD and AD.",0
https://doi.org/10.1016/j.atherosclerosis.2014.02.003,"Physical activity, structural brain changes and cognitive decline. The SMART-MR study","We aimed to examine the cross-sectional and prospective relationship between leisure time physical activity, brain MRI abnormalities and cognitive performance in patients with vascular disease.Within the SMART-MR study, 1.5 T MRI of the brain and neuropsychological examinations were performed at baseline (n = 1232) and after 3.9 ± 0.4 years follow-up (n = 663). Automatic brain segmentation was used to quantify intracranial (ICV), total brain, ventricular, and white matter lesion (WML) volumes. Brain infarcts were rated visually. Level of physical activity was expressed in metabolic equivalents (MET) hours p/week. With linear regression analysis we examined associations of level of physical activity with brain MRI measures and with cognitive performance, adjusted for potential confounders. For the association with brain infarcts relative risks (RR) were calculated with Poisson regression.At baseline, an increase in physical activity of one SD (39.7 METh/w) was significantly associated with larger total brain volume (B = 0.20% of ICV; 95% CI 0.06; 0.33%). A trend was found for the association of physical activity with smaller ventricular volume (B = -0.04% of ICV; 95% CI -0.09; 0.02%) and with a decreased risk for brain infarcts (RR = 0.91, 95% CI: 0.82-1.02). No association was found with smaller WML volume (B = -0.02% of ICV; 95% CI -0.07; 0.04%). No associations with change in brain structures over time were observed. Also, no associations between physical activity and cognitive performance or cognitive decline were found.These data suggest that leisure time physical activity does not have a significant contribution in preventing or slowing down brain abnormalities and cognitive decline in this cohort of middle-aged individuals already burdened with vascular disease.",0
,Leukoaraiosis as a predictor for mortality and morbidity after an acute ischaemic stroke.,"Leukoaraiosis (LA) is a term that defines an abnormal appearance of the subcortical white matter of the brain on neuroimaging. This study was done to evaluate the predictive value of LA in terms of mortality, disability and cognitive decline at three months post-stroke and also to identify the risk factors that are independently associated with LA in a stroke population.This was a prospective observational study of all patients with acute ischaemic stroke who were admitted to Hospital Universiti Kebangsaan Malaysia from June to November 2004. A single observer using the pre-defined diagnostic criteria recorded the information on demography, Barthel Index and mini-mental state examination. LA was diagnosed on brain computed tomography alone.60 patients were recruited into the study. Three patients (five percent) died and LA was present in 29 patients (48 percent). There was no significant association between LA and mortality (p-value equals 0.89). The independent risk factors that were associated with LA were age (odds-ratio [OR] 4.43; 95 percent confidence interval [CI] 1.28-15.27) and hypertension (OR 14.3; 95 percent CI 1.40-147.42). There was a significant association between LA with early dementia (OR 3.53; 95 percent CI 1.19-10.49). However, LA did not significantly predict any functional disability (Barthel Index is less than 60) in the study population (p-value equals 0.45).Development of LA correlates significantly with ageing and hypertension. The presence of LA can also predict early cognitive dysfunction but is not associated with functional disability at three months post-stroke.",0
https://doi.org/10.1016/j.jns.2016.08.012,Lobar intracerebral haematomas: Neuropathological and 7.0-tesla magnetic resonance imaging evaluation,"The Boston criteria for cerebral amyloid angiopathy (CAA) need validation by neuropathological examination in patients with lobar cerebral haematomas (LCHs). In ""vivo"" 1.5-tesla magnetic resonance imaging (MRI) is unreliable to detect the age-related signal changes in LCHs. This post-mortem study investigates the validity of the Boston criteria in brains with LCHs and the signal changes during their time course with 7.0-tesla MRI.Seventeen CAA brains including 26 LCHs were compared to 13 non-CAA brains with 14 LCHs. The evolution of the signal changes with time was examined in 25 LCHs with T2 and T2* 7.0-tesla MRI.In the CAA group LCHs were predominantly located in the parieto-occipital lobes. Also white matter changes were more severe with more cortical microinfarcts and cortical microbleeds. On MRI there was a progressive shift of the intensity of the hyposignal from the haematoma core in the acute stage to the boundaries later on. During the residual stage the hyposignal mildly decreased in the boundaries with an increase of the superficial siderosis and haematoma core collapse.Our post-mortem study of LCHs confirms the validity of the Boston criteria for CAA. Also 7.0-tesla MRI allows staging the age of the LCHs.",0
https://doi.org/10.1016/j.neulet.2012.05.033,Discovering Alzheimer's disease and bipolar disorder white matter effects building computer aided diagnostic systems on brain diffusion tensor imaging features,"The aim of this study is to look for differential effects in white matter (WM) of bipolar disorder (BD) and Alzheimer's disease (AD) patients. We proceed by investigating the feasibility of discriminating between BD and AD patients, and from healthy controls (HC), using multivariate data analysis based on diffusion tensor imaging (DTI) data features. Specifically, support vector machine (SVM) classifiers were trained and tested on fractional anisotropy (FA). Voxel sites are selected as features for classification if their Pearson's correlation between FA values at voxel site across subjects and the indicative variable specifying the subject class is above the threshold set by a percentile of its empirical distribution. To avoid double dipping, selection was performed only on training data in a leave one out cross-validation study. Classification results show that FA features and a linear SVM classifier achieve perfect accuracy, sensitivity and specificity in AD vs. HC, BD vs. HC, and AD vs. BD leave-one-out cross-validation studies. The localization of the discriminant voxel sites on a probabilistic tractography atlas shows effects on seven major WM tracts in each hemisphere and two commissural tracts.",0
,[A case of dural arteriovenous malformation associated with progressive dementia showing marked improvement with endovascular treatment].,"An 81-year-old man was admitted with a 3-month history of progressive dementia. Neurological examination revealed marked dementia, parkinsonism and myoclonus in his extremities. His cerebrospinal fluid examination was normal. An electroencephalogram showed a mildly slowed background. Computed tomography (CT) disclosed diffuse low-density areas in bilateral cerebral white matter. Contrast-enhanced CT demonstrated vermiform enhancement of engorged cortical veins, suggesting increased pressure of the venous system. Magnetic resonance imaging (MRI) disclosed diffuse high-intensity areas in bilateral cerebral white manner on T2-weighted images, and abnormal flow-voids presenting venous congestion on proton-density images. Cerebral angiography revealed arteriovenous malformation (AVM) fed by four branches of the right external carotid artery with retrograde drainage into the right transverse sinus, superior sagittal sinus, and dilated cortical veins. The ipsilateral sigmoid sinus was not visualized. After transarterial embolization, transvenous embolization of the right transverse sinus was performed. These treatments resulted in a marked clinical improvement. We emphasize the role of AVM as a cause of progressive dementia.",0
https://doi.org/10.2478/s13380-013-0141-2,Grey and white matter brain network changes in frontotemporal dementia subtypes,Abstract,0
