doi,title,abstract,label_included
https://doi.org/10.1109/indcon.2010.5712716,Computer vision based offset error computation for web printing machines using FPGA,The use of computer vision based approach has started to bring the intelligence to many of the modern machineries. Such kind of high performance image processing systems can be efficiently built using Field Programmable Gate Arrays (FPGAs). This paper presents the design and implementation of FPGA based Computer Vision System for offset error computation of a new proposed registration mark pattern in 4-color web offset printing machines. The color printing quality of offset machine degrades due to a genuine problem of registration error caused by improper alignment of the prints from each process color section. This system can be used in an automated registration control system for web printing press that will control the position of each of CMYK cylinders depending on offset error calculated which will improve printing quality.,0
https://doi.org/10.1109/induscon.2010.5740045,Design and development of a software for fault diagnosis in radial distribution networks,"This paper presents an on-line fault diagnosis software in primary distribution feeders. The software is written in DELPHI and C++ languages and its interaction with the operator is made in a very friendly environment. The input data are the currents of the feeder per phase, monitored only in the substation. An artificial immune system was developed using the negative selection algorithm to detect and classify the faults. The fault location was identified by a genetic algorithm which is triggered by negative selection algorithm. The main application of the software is to assist in the operation during a fault, and supervise the protection system. A 103-bus non-transposed real feeder is used to evaluate the proposed software. The results show that the software is effective for diagnosing all types of faults involving short-circuits and it has great potential for online applications.",0
https://doi.org/10.1109/tpwrd.2005.848672,Analytical Approach to Internal Fault Simulation in Power Transformers Based on Fault-Related Incremental Currents,"A new method for simulating faulted transformers is presented in this paper. Unlike other methods proposed in the literature, this method uses the data obtained from any sound transformer simulation to obtain the damaged condition by simply adding a set of calculated currents. These currents are obtained from the definition of the fault. The model is fully based on determining the incremental values exhibited by the currents in phases and lines from the prefault to the postfault condition. As a consequence, data obtained from simulation of the sound transformer may be readily used to define the damaged condition. The model is described for light and severe faults, introducing this latter feature as a further add-on feature to the low-level faults simulation. The technique avoids the use of complex routines and procedures devoted to specially simulate the internal fault. Of prompt application to relay testing, the proposed analytical model also gives an insight into the fault nature by means of the investigation of symmetrical components. In contrast with its low complexity, the method has shown to present large accuracy for simulating the fault performance.",0
https://doi.org/10.1109/icelmach.2008.4799852,Nonlinear equivalent circuit model of a traction transformer for winding internal fault diagnostic purposes,The paper presents the development of an equivalent circuit model of a traction transformer intended for studies into the diagnostics of interturn faults. The model accounts for the nonlinear B-H characteristic of the transformer core. The derivation of the model is based on the Lagrange's energy method. The values of model parameters were evaluated by means of 3D finite element model computations. The simulation studies based on the proposed equivalent circuit suggest that interturn faults can be detected by evaluating transformer losses.,0
https://doi.org/10.1109/ipdps.2006.1639408,Fault tolerance with real-time Java,"After having drawn up a state of the art on the theoretical feasibility of a system of periodic tasks scheduled by a preemptive algorithm at fixed priorities, we show in this article that temporal faults can occur all the same within a theoretically feasible system, that these faults can lead to a failure of the system and that we can use the data calculated during control of admission to install detectors of faults and to define a factor of tolerance. We show then the results obtained on a system of periodic tasks coded with Java real-time and carried out with the virtual machine jRate. These results show that the installation of the detectors and the tolerance to the faults makes an improvement of the behavior of the system in the presence of faults",0
https://doi.org/10.1109/pes.2008.4596059,Calculation of transformer internal faults in short circuit analysis,This paper presents a novel method of modeling internal faults in a power transformer. The method leads to a model which is compatible with commercial phasor-based software packages. Consequently; it enables calculation of fault currents in any branch of the network due to a winding fault of a power transformer. These currents can be used for evaluation of protective relayspsila performance and can lead to better setting of protective functions.,0
https://doi.org/10.1109/tmtt.2006.880654,Tunable Bandstop Defected Ground Structure Resonator Using Reconfigurable Dumbbell-Shaped Coplanar Waveguide,"A modification of the conventional dumbbell-shaped coplanar waveguide defected ground structure (DGS) is proposed. This modification permits the continuous tuning of the rejected frequencies by using reconfiguration technique and it allows the control of the DGS equivalent-circuit model. The modified DGS possesses two-dimensional symmetry, hence, it has been studied under different symmetry conditions and the corresponding equivalent-circuit model in each case has been developed. Based upon this study, a tunable bandstop DGS resonator is proposed. 19% tuning range centered at 3.7 and 7.4 GHz, respectively, is achieved. The equivalent-circuit model of the resonator is also developed. All proposed structures have been fabricated. Measurements as well as three-dimensional simulations are found to be in a very good agreement with theoretical predictions",0
https://doi.org/10.1109/tse.2006.37,Interactive fault localization techniques in a spreadsheet environment,"End-user programmers develop more software than any other group of programmers, using software authoring devices such as multimedia simulation builders, e-mail filtering editors, by-demonstration macro builders, and spreadsheet environments. Despite this, there has been only a little research on finding ways to help these programmers with the dependability of the software they create. We have been working to address this problem in several ways, one of which includes supporting end-user debugging activities through interactive fault localization techniques. This paper investigates fault localization techniques in the spreadsheet domain, the most common type of end-user programming environment. We investigate a technique previously described in the research literature and two new techniques. We present the results of an empirical study to examine the impact of two individual factors on the effectiveness of fault localization techniques. Our results reveal several insights into the contributions such techniques can make to the end-user debugging process and highlight key issues of interest to researchers and practitioners who may design and evaluate future fault localization techniques.",0
https://doi.org/10.1109/bibe.2007.4375756,Semiparametric RMA Background-Correction for Oligonucleotide Arrays,Microarray technology has provided an opportunity to simultaneously monitor the expression levels of a large number of genes in response to intentional perturbations. A necessary step towards successful use of microarray technology is background correction which aims to remove noise. One of the most popular algorithms for background correction is the Robust Multichip Average (RMA) procedure which relies on an unjustified parametric assumption. In this paper we first check the fitness of the RMA model using a graphical approach and then propose a new background correction method based on a semiparametric RMA model (semi-RMA). Evaluation of the proposed approach based on spike-in data and MAQC (Microarray Quality Control project) data shows our semi-RMA model provides a better fit to microarray data than other approaches.,0
https://doi.org/10.1109/mwsym.2002.1012219,Novel method for vector mixer characterization and mixer test system vector error correction,"This paper presents a novel method for characterizing RF mixers, yielding magnitude and phase response for input match, output match, and conversion loss, and works for mixers which have reciprocal conversion loss and for which the image response can be filtered out. The characterized mixer is used to accomplish a full vector correction of a mixer test system, which can measure other mixers that are not reciprocal. A key contribution is phase and absolute group delay measurements of the mixer-under-test.",0
