doi,title,abstract,label_included
,Adverse reaction to a fissure sealant: report of case.,"A six-year-old girl with a known allergy to mites had her first permanent molars sealed with Delton. On the night of the treatment day, she began to have asthmatic trouble. Urticaria appeared a few days later. Treatment with cortisone gave no relief. When the fissure sealant material was taken away, the asthma and urticaria disappeared. Possible explanations to the reaction are discussed in the report.",0
https://doi.org/10.1016/0022-3913(88)90306-x,An evaluation of finishing instruments for an anterior and a posterior composite,"The same finishing instruments and techniques revealed no significant differences in the surface roughness of the anterior and posterior composites. The smoothest surface was achieved with Mylar strips; the smoothest instrumented surface was achieved with a series of abrasive disks, but a fine diamond bur with 25 micron particles produced the roughest surface. However, an x-fine diamond with 15 micron particles produced a surface smoothness superior to that produced with a white stone and similar to the smoothness produced with a carbide bur and rubber point. Diamond finishing with slow speed produced a somewhat smoother finish than with high speed. SEM analysis revealed qualitative differences in surface texture even though the average roughness was not shown to differ.",0
https://doi.org/10.1016/j.dental.2009.06.021,Tetrahydrofuran as alternative solvent in dental adhesive systems,"To evaluate the influence of tetrahydrofuran (THF) on the resin-to-dentin microtensile bond strength (μTBS) after water storage, for 24 h and 6 months, and to compare its behavior with that of traditional solvents. Seven versions of monomer/solvent mixtures (primers) were prepared using the following solvent and water combinations: (1) THF, (2) acetone, (3) ethanol, (4) water, (5) THF/water, (6) acetone/water and (7) ethanol/water. An experimental adhesive resin was also synthesized to compare adhesive systems with the different primers. Forty-two bovine incisors, randomly separated into seven groups, had their superficial coronal dentin exposed. After acid-etching and rinsing, the excess water was removed from the surface with absorbent paper. Each experimental primer was applied with agitation (30 s) followed by a mild air stream (10 s). The experimental adhesive resin was applied and light-activated (20 s). Resin composite restorations were constructed incrementally. Restored teeth were stored in distilled water at 37 °C (24 h) and sectioned to obtain sticks with an area of 0.5 mm 2 . Half the specimens were subjected to the μTBS test immediately after being cut and the other half were tested after 6 months of water storage. Data (MPa) were analyzed by two-way ANOVA (solvent type and storage time as factors) and Tukey–Kramer's test at α = 0.05. Factors and interaction showed a statistical effect. After 6 months storage, acetone groups and primers containing THF showed similar μTBS to initial means. THF seems to be a promising solvent for use in dental adhesive systems, maintaining bond strength on dentin substrate after storage.",0
,Provisional materials: key components of interim fixed restorations.,"Clinicians have many choices of provisional materials from which to choose when fabricating interim fixed restorations. While traditional materials are still in use today, temporary materials are continuously being updated and improved upon. In addition to the functional necessities required of the provisional material, it must also provide esthetic value for the patient. This article provides an overview of provisional materials, including newer bis-acryls that have helped eliminate some of the challenges associated with traditional acrylic materials. Composite resin preformed crowns for single-unit provisional applications are also discussed, along with CAD/CAM-fabricated materials. Regardless of the material selected, a provisional restoration must maintain and protect the underlying tooth structure from ill effects.",0
https://doi.org/10.1016/s0109-5641(00)00060-9,Influence of cross-head speed on resin-dentin shear bond strength,"To evaluate the influence of different cross-head speeds on shear bond strength test on the dentin surface.One hundred and twenty extracted bovine incisors were embedded in polystyrene resin. The specimens were prepared by wet grinding with 320-, 400- and 600-grit Al2O3 paper exposing dentin. After the application of the adhesive system Single Bond (3M) to etched dentin, the composite resin Z-100 (3M) was applied and light cured. The specimens were randomly assigned to four groups (n=30). The shear bond strength tests were performed with an EMIC DL 500 universal testing machine at four different cross-head speeds: 0.50 (A); 0.75 (B); 1.00 (C); and 5.00 mm/min (D).The mean values of shear bond strength in MPa (SD) were: A, 11.78 (3.91); B, 11.82 (4.78); C, 16.32 (6.45); D, 15.46 (5.94). The data were analyzed with one-way ANOVA and Tukey's test (alpha=0.05). The results indicated that A=B<C=D. The fracture pattern was evaluated by visual analysis in a stereomicroscope (25x). The percentage of fractures that occurred at the adhesive interface were: A, 92.5%; B, 91.6%; C, 70.0%; D, 47.0%. The Student's t-test to percentages (alpha=0.05) indicated that there were no significant differences among A, B and C; A and B differed from D, and there was no significant difference between C and D.Different cross-head speeds may influence the shear bond strength and the fracture pattern in dentin substrate. Shear bond strength using cross-head speeds of 0.50 and 0.75 mm/min should be preferred.",0
https://doi.org/10.1177/00220345890680071001,Fractography of a bis-GMA Resin,"The fracture behavior of a bis-GMA resin was studied by means of the double-torsion test. The fracture parameter measured was the stress-intensity factor. Fracture occurred in either a stick-slip (unstable) or continuous (stable) manner, depending upon the test conditions. When stick-slip propagation occurred, the fracture surfaces showed characteristic crack-arrest lines. The fracture surfaces were examined by use of a reflected-light optical microscope. The stress-intensity factor for crack initiation was found to be related to the size of the crack-arrest line which, in turn, could be related to the Dugdale model for plastic zone size. The evidence supported the concept that the behavior of the crack during propagation was controlled by the amount of plastic deformation occurring at the crack tip.",0
https://doi.org/10.1016/j.ajog.2010.01.025,Transfer of bisphenol A across the human placenta,"The objective of the investigation was to study placental transfer and conjugation of bisphenol A (BPA) across the human placenta.Human placentae obtained from healthy term singleton pregnancies were utilized in a dual recirculating model of ex vivo placental perfusion. Seven placentae were perfused with BPA (10 ng/mL) added to the maternal perfusate for 180 minutes. Antipyrine and fluorescein isothiocyanate dextran were used as positive and negative controls, respectively, to validate integrity of the circuits. Concentrations of BPA and its conjugates were determined by liquid chromatography-mass spectrometry.The transfer percentage for antipyrine and BPA were 25.5 +/- 1.13% and 27.0 +/- 1.88%, respectively, and the transfer index for BPA was 1.1 +/- 0.09 after 180 minutes of perfusion. Only 3.2 +/- 1.6% of BPA in the fetal compartment was in the conjugated form.Bisphenol A at low environmentally relevant levels can transfer across the human placenta, mainly in active unconjugated form.",0
https://doi.org/10.4012/dmj.2009-099,Combination treatment of tribochemical treatment and phosphoric acid ester monomer of zirconia ceramics enhances the bonding durability of resin-based luting cements,"The aim of the present study was to evaluate the bonding durability of resin-based luting cement to partially stabilized tetragonal zirconia (Y-TZP) achieved by combination treatment of tribochemical (TBC) treatment and two different phosphate acid ester monomers. Two phosphate acid ester monomers (EP: Epricord opaque primer, AZ: AZ primer) were applied to each surface modification followed by application of resin-based luting cement (Rely-X ARC). Bonding specimens were placed in deionized water at 37 degrees C and stored for 24 h. The other groups were subjected to 30,000 cycles of a thermal stress for the durability test. Shear bond tests were done using a universal testing machine at 1 mm/min. Shear bond strengths of combination treatments using EP and AZ on TBC treatment after thermal stress showed no significant difference (p>0.05) compared with those of storage after 24 h. Combination treatment using phosphoric acid ester monomer could achieve a durable bond.",0
https://doi.org/10.1016/s0022-3913(97)70058-1,Fracture strengths of provisional restorations reinforced with plasma-treated woven polyethylene fiber,"Fracture strength of interim fixed partial prosthesis is of great concern, especially in long-span restorations or areas of heavy occlusal stress.Effects of a plasma-treated woven polyethylene fiber (Ribbond) on the fracture strength of polymethyl methacrylate (Coldpac) and a resin-based two-phase curing provisional restorative material (Provipont DC) were evaluated.A polyvinyl siloxane template was used to fabricate three-unit posterior provisional prostheses on a stainless steel die with two abutments 22 mm apart. The reinforced groups were fabricated by affixing 3 mm wide pieces of fiber treated with methyl methacrylate monomer or polyisocyanate (activator part of Provipont DC) on the occlusal surfaces of abutments. The interim materials were mixed, according to the manufacturers' specifications, and placed in the template. The template was pressed on the die and held secure until complete setting of the material occurred by light curing (Provipont DC) or autopolymerization (PMMA). The specimens were divided into 4 groups of 10 each (A, reinforced Provipont DC; B, unreinforced Provipont DC; C, reinforced PMMA; and D, unreinforced PMMA). A central compressive load force was exerted on the specimen to determine the fracture load of the restorations.The data revealed mean fracture loads of A, 65.59 +/- 11.27 kg; B, 46.59 +/- 14.84 kg; C, 53.46 +/- 7.76 kg; and D, 49.86 +/- 14.44 kg.Plasma-treated polyethylene reinforced PMMA restorations showed no significant increase in fracture loads when compared with unreinforced restorations (p > 0.10), whereas reinforced resin-based restorations revealed significantly higher fracture loads (p < 0.01) than the unreinforced resin-based and PMMA provisional restorations.",0
https://doi.org/10.1016/s0099-2399(89)80053-6,Effects of two hemostatic agents on osseous healing,"The effects of Adaptic and Avitene on bone healing were evaluated histologically. The studied materials were placed in osseous defects created in rat tibias with a #8 round bur in a slow-speed handpiece. The materials were left in situ for experimental periods of 7, 14, 28, 60, 90, and 120 days. Histological evaluation of specimens from each of these periods demonstrated that Avitene was resorbed and did not impede bone healing. Adaptic was not resorbed at the end of the longest experimental period, 120 days. This material caused a foreign body reaction characterized by encapsulation of the Adaptic by fibrous connective tissues. Both Adaptic and Avitene were satisfactory hemostatic agents. The results of this study suggest that Adaptic should be used only in those situations where complete retrieval of the material from surgical sites can be assured.",0
