doi,title,abstract,label_included
https://doi.org/10.1016/j.resuscitation.2016.07.007,Aetiology of in-hospital cardiac arrest on general wards,"Aetiology of in-hospital cardiac arrests (IHCAs) on general wards has not been studied. We aimed to determine the underlying causes for IHCAs by the means of autopsy records and clinical judgement of the treating consultants. Furthermore, we investigated whether aetiology and preceding vital dysfunctions are associated with long-term survival.Prospective observational study between 2009-2011 including 279 adult IHCA patients attended by medical emergency team in a Finnish university hospital's general wards.The median age of the patients was 72 (64, 80) years, 185 (66%) were male, 178 (64%) of events were monitored/witnessed, first rhythm was shockable in 42 (15%) cases and 53 (19%) patients survived six months. Aetiology was determined as cardiac in 141 events, 73 of which were due to acute myocardial infarction. There were 138 non-cardiac IHCAs; most common causes were pneumonia (39) and exsanguination (16). No statistical difference was observed in the incidence of objective vital dysfunctions preceding the event between the cardiac and non-cardiac groups (40% vs. 44%, p=0.448). Subjective antecedents were more common in the cardiac cohort (47% vs. 32%, p=0.022), chest pain being an example (11% vs. 0.7%, p<0.001). Reviewing all 279 IHCAs, only shockable primary rhythm, monitored/witnessed event and low comorbidity score were independently associated with 180-day survival.Cardiac aetiology underlies half of the IHCAs on general wards. Both objective and subjective antecedents are common. However, neither the cardiac aetiology nor the absence of preceding deterioration of vital signs were factors independently associated with a favourable outcome.",0
https://doi.org/10.1016/j.psym.2011.02.007,Linking Electronic Health Record-Extracted Psychosocial Data in Real-Time to Risk of Readmission for Heart Failure,"Background Knowledge of psychosocial characteristics that helps to identify patients at increased risk for readmission for heart failure (HF) may facilitate timely and targeted care. Objective We hypothesized that certain psychosocial characteristics extracted from the electronic health record (EHR) would be associated with an increased risk for hospital readmission within the next 30 days. Methods We identified 15 psychosocial predictors of readmission. Eleven of these were extracted from the EHR (six from structured data sources and five from unstructured clinical notes). We then analyzed their association with the likelihood of hospital readmission within the next 30 days among 729 patients admitted for HF. Finally, we developed a multivariable predictive model to recognize individuals at high risk for readmission. Results We found five characteristics—dementia, depression, adherence, declining/refusal of services, and missed clinical appointments—that were associated with an increased risk for hospital readmission: the first four features were captured from unstructured clinical notes, while the last item was captured from a structured data source. Conclusions Unstructured clinical notes contain important knowledge on the relationship between psychosocial risk factors and an increased risk of readmission for HF that would otherwise have been missed if only structured data were considered. Gathering this EHR-based knowledge can be automated, thus enabling timely and targeted care.",0
https://doi.org/10.3389/fphar.2015.00258,HDL and glucose metabolism: current evidence and therapeutic potential,"High-density lipoprotein (HDL) and its principal apolipoprotein A-I (ApoA-I) have now been convincingly shown to influence glucose metabolism through multiple mechanisms. The key clinically relevant observations are that both acute HDL elevation via short-term reconstituted HDL (rHDL) infusion and chronically raising HDL via a cholesteryl ester transfer protein (CETP) inhibitor reduce blood glucose in individuals with type 2 diabetes mellitus (T2DM). HDL may mediate effects on glucose metabolism through actions in multiple organs (e.g., pancreas, skeletal muscle, heart, adipose, liver, brain) by three distinct mechanisms: (i) Insulin secretion from pancreatic beta cells, (ii) Insulin-independent glucose uptake, (iii) Insulin sensitivity. The molecular mechanisms appear to involve both direct HDL signaling actions as well as effects secondary to lipid removal from cells. The implications of glucoregulatory mechanisms linked to HDL extend from glycemic control to potential anti-ischemic actions via increased tissue glucose uptake and utilization. Such effects not only have implications for the prevention and management of diabetes, but also for ischemic vascular diseases including angina pectoris, intermittent claudication, cerebral ischemia and even some forms of dementia. This review will discuss the growing evidence for a role of HDL in glucose metabolism and outline related potential for HDL therapies.",0
https://doi.org/10.1159/000446159,Reduced Cardiovascular Mortality Associated with Early Vascular Access Placement in Elderly Patients with Chronic Kidney Disease,"&lt;b&gt;&lt;i&gt;Background:&lt;/i&gt;&lt;/b&gt; Elderly patients with cardiovascular comorbidities are more likely to die before progressing to the need for undergoing hemodialysis; so deferring their predialysis vascular access (VA) surgery has been suggested. However, recent declines in cardiovascular mortality in the US population may have changed this consideration. We assessed whether there has been a parallel decrease in cardiovascular comorbidity in elderly chronic kidney disease (CKD) patients undergoing predialysis access surgery, and whether this impacted clinical outcomes after access creation and cardiovascular events after hemodialysis initiation. &lt;b&gt;&lt;i&gt;Methods:&lt;/i&gt;&lt;/b&gt; We identified 3,418 elderly patients undergoing predialysis VA creation from 2004 to 2009, divided them into 3 time cohorts (2004-2005, 2006-2007 and 2008-2009), and assessed their clinical outcomes during 2 years of follow-up. &lt;b&gt;&lt;i&gt;Results:&lt;/i&gt;&lt;/b&gt; There was a progressive decrease in patients with history of peripheral vascular disease (from 66.5 to 59.7%, p &lt; 0.005), heart failure (from 47.0 to 35.8%, p &lt; 0.005), and myocardial infarction (from 6.5 to 3.3%, p &lt; 0.001) from 2004 to 2009. Death before hemodialysis decreased from 17.5 to 12.6%, survival without hemodialysis increased from 14.5 to 19.0%, and hemodialysis initiation remained constant at ∼68% (p &lt; 0.001). The incidence of death or cardiovascular event in the first year of hemodialysis decreased from 2004-2005 to 2008-2009 (HR 0.83, 95% CI 0.69-0.99; p = 0.04). &lt;b&gt;&lt;i&gt;Conclusion:&lt;/i&gt;&lt;/b&gt; In the context of a changing population from 2004 to 2009, a progressive decrease in cardiovascular comorbidities in elderly CKD patients undergoing predialysis VA surgery was associated with a decrease in death before hemodialysis and cardiovascular events after starting hemodialysis. These insights should be translated into more thoughtful consideration as to which elderly patients should undergo predialysis access surgery.",0
https://doi.org/10.1002/mds.20700,Long-term benefits of rivastigmine in dementia associated with Parkinson's disease: An active treatment extension study,"In patients with dementia associated with Parkinson's disease (PD), the efficacy and safety of rivastigmine, an inhibitor of acetylcholinesterase and butyrylcholinesterase, were previously demonstrated in a 24-week double-blind placebo-controlled trial. Our objective was to determine whether benefits were sustained over the long term. Following the double-blind trial, all patients were permitted to enter an active treatment extension study, during which they received rivastigmine 3-12 mg/day. Standard safety assessments were performed. Efficacy assessments included the Alzheimer's Disease Assessment Scale cognitive subscale (ADAS-cog) and other measures of cognition, daily function, neuropsychiatric symptoms, and executive function. Of 433 patients who completed the double-blind trial, 334 entered and 273 completed the active treatment extension. At 48 weeks, the mean ADAS-cog score for the whole group improved by 2 points above baseline. Placebo patients switching to rivastigmine for the active treatment extension experienced a mean cognitive improvement similar to that of the original rivastigmine group during the double-blind trial. The adverse event profile was comparable to that seen in the double-blind trial. Long-term rivastigmine treatment appeared well tolerated and may provide sustained benefits in dementia associated with PD patients who remain on treatment for up to 48 weeks.",0
,Clinical risk prediction by exploring high-order feature correlations.,"Clinical risk prediction is one important problem in medical informatics, and logistic regression is one of the most widely used approaches for clinical risk prediction. In many cases, the number of potential risk factors is fairly large and the actual set of factors that contribute to the risk is small. Therefore sparse logistic regression is proposed, which can not only predict the clinical risk but also identify the set of relevant risk factors. The inputs of logistic regression and sparse logistic regression are required to be in vector form. This limits the applicability of these models in the problems when the data cannot be naturally represented vectors (e.g., medical images are two-dimensional matrices). To handle the cases when the data are in the form of multi-dimensional arrays, we propose HOSLR: High-Order Sparse Logistic Regression, which can be viewed as a high order extension of sparse logistic regression. Instead of solving one classification vector as in conventional logistic regression, we solve for K classification vectors in HOSLR (K is the number of modes in the data). A block proximal descent approach is proposed to solve the problem and its convergence is guaranteed. Finally we validate the effectiveness of HOSLR on predicting the onset risk of patients with Alzheimer's disease and heart failure.",0
https://doi.org/10.1016/j.jstrokecerebrovasdis.2015.06.012,Cognitive Decline in Patients with Leukoaraiosis Within 5 Years after Initial Stroke,"Leukoaraiosis (LA) is closely associated with cognitive deficits. The association between LA and cognitive disorders, such as mild cognitive impairment (MCI) and dementia, after initial stroke has not been systematically studied. In this study, we sought to identify whether LA contributes to the occurrence of certain type of cognitive disorders after initial stroke.Data from our Stroke Registry were examined, and 5-year follow-up data for LA and cognitive disorders were analyzed. We performed Kaplan-Meier analysis and log-rank test to assess the predictive value of LA for risk of cognitive decline and the Cox proportional hazards model to test the risk factors studied as independent determinants of cognitive impairment.The frequency of patients with normal cognitive function decreased significantly at 5 years compared with initial stroke (78% vs 70%; odds ratio, 1.51; 95% confidence interval, 1.41-1.62). Of 8784 patients, 1659 (19%) had dementia and 964 (11%) had MCI at the final analysis. After 5 years of follow-up, survival analysis showed that all patients with LA had an increased probability of MCI compared with those without LA (P < .0001). Patients with LA had an increased chance of dementia compared with those without LA (P < .0001) at the end of follow-up. Cognitive decline probability was significantly higher in patients with severe LA compared with those with mild/moderate LA (P < .0001). Cox regression analyses showed that recurrence of stroke (hazard ratio [HR], 3.92 [95% CI, 3.26-4.72]), hypertension (HR, 1.11 [95% CI, 1.0-1.22]), LA (HR, 1.15 [95% CI, 1.05-1.25]), age (HR, 1.05 [95% CI, 1.04-1.06]), hypercholesterolemia (HR, .86 [95% CI, .77-.95]), higher LDL cholesterol (HR, 1.21 [95% CI, 1.11-1.32]), lower HDL cholesterol (HR, .90 [95% CI, .83-.98]), coronary heart disease (HR, .85 [95% CI, .77-.94]), and National Institutes of Health Stroke Scale score at admission (HR, .77 [95% CI, .72-.82]) were also significantly associated with cognitive impairments.Our findings suggest that patients with LA may be at risk of developing new cognitive impairments at long-term period after initial stroke. The evaluation of the concomitant risk factors, besides providing insights about the possible mechanisms behind the cognitive dysfunction present in LA, may be of help for the prevention of cognitive impairments.",0
https://doi.org/10.1097/gme.0000000000000345,Hormone therapy and risk of cardiovascular outcomes and mortality in women treated with statins,"This work aims to study the effects of hormone therapy (HT) on the risk of cardiovascular outcomes and all-cause mortality in women treated with statins.We included women aged 40 to 74 years and living in Sweden who filled a first statin prescription between 2006 and 2007. Women were categorized as HT users or as nonusers. Information on dispensed drugs, comorbidity, cardiovascular outcomes, and all-cause mortality was obtained from national health registers.A total of 40,958 statin users--2,862 (7%) HT users and 38,096 nonusers--were followed for a mean of 4.0 years. In total, 70% of the women used statins as primary prevention. Among HT users, there were five cardiovascular deaths per 10,000 person-years. The corresponding rate among nonusers was 18, which yielded a hazard ratio of 0.38 (95% CI, 0.12-1.19). The all-cause mortality rates were 33 and 87, respectively, and the hazard ratio was 0.53 (95% CI, 0.34-0.81). There were no associations with cardiovascular events. A similar pattern was found for both primary and secondary prevention.HT is associated with a reduced risk of all-cause mortality in women treated with statins. Although confounding factors, such as lifestyle and disease severity, might have influenced the results, HT does not seem to be detrimental to statin-treated women.",0
https://doi.org/10.1212/wnl.0000000000000665,Interleukin-6 and C-reactive protein as predictors of cognitive decline in late midlife,"Peripheral inflammatory markers are elevated in patients with dementia. In order to assess their etiologic role, we examined whether interleukin-6 (IL-6) and C-reactive protein (CRP) measured in midlife predict concurrently assessed cognition and subsequent cognitive decline.Mean value of IL-6 and CRP, assessed on 5,217 persons (27.9% women) in 1991-1993 and 1997-1999 in the Whitehall II longitudinal cohort study, were categorized into tertiles to examine 10-year decline (assessments in 1997-1999, 2002-2004, and 2007-2009) in standardized scores (mean = 0, SD = 1) of memory, reasoning, and verbal fluency using mixed models. Mini-Mental State Examination (MMSE) was administered in 2002-2004 and 2007-2009; decline ≥3 points was modeled with logistic regression. Analyses were adjusted for baseline age, sex, education, and ethnicity; further analyses were also adjusted for smoking, obesity, Framingham cardiovascular risk score, and chronic diseases (cancer, coronary heart disease, stroke, diabetes, and depression).In cross-sectional analysis, reasoning was 0.08 SD (95% confidence interval [CI] -0.14, -0.03) lower in participants with high compared to low IL-6. In longitudinal analysis, 10-year decline in reasoning was greater (ptrend = 0.01) among participants with high IL-6 (-0.35; 95% CI -0.37, -0.33) than those with low IL-6 (-0.29; 95% CI -0.31, -0.27). In addition, participants with high IL-6 had 1.81 times greater odds ratio of decline in MMSE (95% CI 1.20, 2.71). CRP was not associated with decline in any test.Elevated IL-6 but not CRP in midlife predicts cognitive decline; the combined cross-sectional and longitudinal effects over the 10-year observation period corresponded to an age effect of 3.9 years.",0
https://doi.org/10.1159/000244812,A Delirium Unit in an Acute Geriatric Hospital,,0
