doi,title,abstract,label_included
https://doi.org/10.1038/sj.sc.3100336,Static respiratory pressures in patients with post-traumatic tetraplegia,The purpose of this study was to examine ventilatory muscle strength as represented by static respiratory pressures in 30 tetraplegic patients with a complete lesion between the fifth and the eighth cervical vertebrae. The Inspiratory/Expiratory Pressure Meter was used to obtain maximum static expiratory mouth pressure (PEmax) and maximum static inspiratory mouth pressure (PImax) measurements. The PEmax was measured at vital capacity and the PImax at residual volume. The measurements were effected while the patient was in the supported sitting position. The mean PEmax for the group was 50 cm H2O and the mean PImax was -65 cm H2O. There was a significant difference between the PEmax and PImax values. Unlike normal individuals most tetraplegic subjects in this study showed PImax values to be much higher than their PEmax values.,0
https://doi.org/10.1080/01612840290052712,EFFECTS OF A LONG-TERM PSYCHOSOCIAL NURSING INTERVENTION ON ADOLESCENTS EXPOSED TO CATASTROPHIC STRESS,"This research tested the effects of a long-term psychosocial nursing intervention designed to decrease mental distress in adolescents following a catastrophic event. Advanced Practice Psychiatric Nurses conducted the Catastrophic Stress Intervention (CSI) in two South Carolina high schools for three years following Hurricane Hugo. The CSI consisted of nine protocols designed to decrease adolescents' mental distress by increasing their understanding of stress and by enhancing their self-efficacy and social support. Adolescents (N = 1030) were randomized to intervention or control groups and completed one baseline and five postintervention measures of mental distress, self-efficacy, and social support. The hypothesis was that intervention adolescents would have less mental distress than control adolescents. The research also addressed the particular time points at which differences between intervention and control adolescents might be shown. Repeated measures multivariate analysis of variance, with exposure to the hurricane, self-efficacy, and social support as control variables, showed that intervention adolescents reported less mental distress than control adolescents at 12, 18, and 24 months but that this difference dissipated by 30 and 36 months. Implications for the CSI and timing of interventions with adolescents after a catastrophic event are discussed.",0
https://doi.org/10.1046/j.1440-1819.1999.00618.x,Attentional processing of emotional information in obsessive-compulsive disorder,"In order to investigate attentional processing of emotional information in obsessive-compulsive disorder (OCD), 14 patients with OCD and 28 normal control (NC) subjects were asked to name the background colors of anxiety-relevant, compulsion-relevant, positive and neutral words (an emotional Stroop color-naming test). The stimulus words were presented subliminally, and supraliminally. The time of subliminal presentation for each subject was determined in advance by the lexical decision task. In the subliminal condition, the delay for anxiety- and compulsion-relevant words, when compared with neutral words, was greater in OCD patients, while no difference was found in NC subjects. In the supraliminal condition, no delay was found for both OCD patients and NC subjects. In other words, OCD patients were more sensitive to threat information when it could not be identified with consciousness. Moreover, the present study compared checking OCD with cleaning OCD in the attentional processing of emotional information. As a result, it was found that checking OCD patients responded more slowly in naming the background color of subliminal emotional words than cleaning OCD patients. The results indicate that OCD patients, especially with checking compulsion, may have a deficit in automatic processing of threat information.",0
,Behavioural response to m-chlorophenylpiperazine and clonidine in trichotillomania,"Administration of m-chlorophenyl-piperazine (m-CPP), a partial serotonin agonist, may lead to acute exacerbation of symptoms of obsessive-compulsive disorder (OCD), whereas administration of the alpha-2 adrenergic agonist, clonidine, may be followed by an acute decrease in symptoms. We studied behavioural response of 11 patients with trichotillomania, a disorder possibly related to OCD, to these agents and to placebo. No significant drug effects on specific trichotillomania symptoms were found. Patients experienced more of a 'high' feeling on m-CPP than on clonidine or placebo, a finding similar to that seen in patients with impulsive personality disorders.",0
https://doi.org/10.1186/1745-6215-14-231,A cognitive-behavioral intervention for emotion regulation in adults with high-functioning autism spectrum disorders: study protocol for a randomized controlled trial,"BackgroundAdults with high-functioning autism spectrum disorders (ASD) have difficulties in social communication; thus, these individuals have trouble understanding the mental states of others. Recent research also suggests that adults with ASD are unable to understand their own mental states, which could lead to difficulties in emotion-regulation. Some studies have reported the efficacy of cognitive-behavioral therapy (CBT) in improving emotion-regulation among children with ASD. The current study will investigate the efficacy of group-based CBT for adults with ASD.Methods/DesignThe study is a randomized, waitlist controlled, single-blinded trial. The participants will be 60 adults with ASD; 30 will be assigned to a CBT group and 30 to a waitlist control group. Primary outcome measures are the 20-item Toronto Alexithymia Scale, the Coping Inventory for Stressful Situations, the Motion Picture Mind-Reading task, and an ASD questionnaire. The secondary outcome measures are the Center for Epidemiological Studies Depression Scale, the World Health Organization Quality of Life Scale 26-item version, the Global Assessment of Functioning, State-trait Anxiety Inventory, Social Phobia and Anxiety Inventory, and Liebowitz Social Anxiety Scale. All will be administered during the pre- and post-intervention, and 12 week follow-up periods. The CBT group will receive group therapy over an 8 week period (one session per week) with each session lasting approximately 100 minutes. Group therapy will consist of four or five adults with ASD and two psychologists. We will be using visual materials for this program, mainly the Cognitive Affective Training kit.DiscussionThis trial will hopefully indicate the efficacy of group-based CBT for adults with high- functioning ASD.Trial registrationThis trial was registered in The University Hospital Medical Information Network Clinical Trials Registry No. UMIN000006236.",0
https://doi.org/10.1054/ijom.2001.0131,Minimization of zygomatic complex fracture treatment,"The aims of this non-randomized prospective study were to establish and justify minimized therapy for zygomatic complex fractures. Fifty-two consecutive patients were examined and classified with conventional routine radiographs. Preoperative symptoms were recorded. Treatment of zygomatic fractures was by percutaneous hook reduction and miniplate fixation along the frontozygomatic suture. Exploration of the orbital floor was carried out only in cases of primary diplopia or comminuted fractures. Postoperatively, patients were followed for 12 months. Clinical and radiologic assessment of reduction was symmetric and stable in all cases. Preoperative symptoms disappeared completely except for sensitivity disturbance in five patients. Patients with no post-trauma diplopia did not develop eye motility disturbances or enophthalmos. The treatment of a zygomatic fracture is possible by the described technique. Exploration of the orbital floor is indicated only in cases of preoperative diplopia. Therefore, a patient with a zygomatic fracture and diplopia should be classified as having a orbitozygomatic fracture. In cases of comminuted fractures, exploration of the orbital floor remains mandatory.",0
https://doi.org/10.1080/10615806.2014.880111,Imagining the future in health anxiety: the impact of rumination on the specificity of illness-related memory and future thinking,"Individuals with health anxiety experience catastrophic fears relating to future illness. However, little research has explored cognitive processes involved in how health anxious individuals picture the future. Ruminative thinking has been shown to impede the ability to recall specific autobiographical memories, which in turn is related to maladaptive, categoric future thinking processes. This study examined the impact of rumination on memory and future thinking among 60 undergraduate participants with varying health anxiety (35% clinical-level health anxiety). Participants were randomized to experiential/ruminative self-focus conditions, then completed an Autobiographical Memory Test and Future Imaginings Task. Responses were coded for specificity and the presence of illness concerns. Rumination led to more specific illness-concerned memories overall, yet at the same time led to more categoric illness-related future imaginings. Rumination and health anxiety together best predicted overgeneral illness-related future imaginings. Highly specific illness-related memories may be maintained due to their personal salience. However, more overgeneral illness-related future imaginings may reflect cognitive avoidance in response to the threat of future illness. This divergent pattern of results between memory and future imaginings may exacerbate health anxiety, and may also serve to maintain maladaptive responses among individuals with realistic medical concerns, such as individuals living with chronic illness.",0
https://doi.org/10.1002/pon.4622,Symposia & Podiums,"Background/Purpose: There are over 1 000 000 adolescent and young adult (AYA) cancer patients and survivors living in the United States. Beyond disparities in misdiagnosis, delayed diagnosis, and survival rates compared to pediatric and older adults, young adults face unique stressors related to developmental milestone disruptions (e.g., educational pursuits, jobs, relationships, and infertility), social isolation, depression, and fear of recurrence. The purpose of this studywas to examine the effects of participation in a mindfulness‐based stress reduction course to reduce physical and emotional symptoms, and improve well‐being. Methods: Participants were enrolled at an NCI designated comprehensive cancer center and randomized to MBSR or a 16‐week waitlist control condition. Questionnaires of physical, social, and emotional wellbeing were gathered at multiple time points. Longitudinal mixed models were conducted, adjusting for expectancy, previous meditation history, and number of classes attended. Analyses for this presentation focus on 16‐week changes. Results: We consented 151 eligible participants, with 126 completing the baseline measures. We randomized 67 to MBSR, and 59 to the Waitlist control. Average age was 32.6, and the majority were female (77%), Caucasian (70%), and college graduates (76%). Breast cancer and lymphoma were the most common cancer types (36% and 25%, respectively). Roughly 60% attended >=6 sessions, 58% attended the retreat, and 83% never meditated or not on a regular basis. While we observed several statistically significant within group improvements among participants who received MBSR, compared to the Waitlist condition, the only statistically significant difference between groups was observed in Self‐Kindness (P = .02), a subdomain of self‐compassion. This was significantly higher in the MBSR group (Cohen's d effect size = .61). Follow‐up Pearson correlation coefficients revealed that among MBSR participants, self‐kindness changes at 16 weeks were significantly inversely associated was changes in anxiety (r = ‐.339, P <.05) and depression (r = ‐.35, P < .05), while no statistically significant associations were found among waitlist participants. Conclusions and Implications: Our findings suggest the potentially important role of self‐kindness as an outcome from mindfulness training with this population. While increased self‐compassion was not surprising given the focus of this within contemplative pedagogy, examining it within the context of a larger resilience paradigm is a novel area of further exploration.",0
,A pilot open trial of brief psychodynamic psychotherapy for panic disorder.,"This is a complete report of an open trial of manualized psychodynamic psychotherapy for treatment of panic disorder, Panic-Focused Psychodynamic Psychotherapy (PFPP). Twenty-one patients with PD were entered into a trial of twice-weekly, 24-session treatment. Sixteen of 21 experienced remission of panic and agoraphobia. Treatment completers with depression also experienced remission of depression. Improvements in symptoms and in quality of life were substantial and consistent across all measured areas. Symptomatic gains were maintained over 6 months. This report was prepared specifically to describe 6-month follow-up on these patients. Psychodynamic psychotherapy appears to be a promising nonpharmacological treatment for panic disorder.",0
https://doi.org/10.1186/s12906-015-0753-x,"Mechanical massage and mental training programmes affect employees’ anxiety, stress susceptibility and detachment–a randomised explorative pilot study","Working people's reduced ability to recover has been proposed as a key factor behind the increase in stress-related health problems. One not yet evidence-based preventive method designed to help employees keep healthy and be less stressed is an armchair with built-in mechanical massage and mental training programmes, This study aimed to evaluate possible effects on employees' experience of levels of ""Anxiety"", ""Stress Susceptibility"", ""Detachment"" and ""Social Desirability"" when using mechanical massage and mental training programmes, both separately and in combination, during working hours.Employees from four different workplaces were randomly assigned to one of the following groups: i) Massage and mental training (sitting in the armchair and receiving mechanical massage while listening to the mental training programmes, n=19), ii) Massage (sitting in the armchair and receiving mechanical massage only, n=19), iii) Mental training (sitting in the armchair and listening to the mental training programmes only, n=19), iv) Pause (sitting in the armchair but not receiving mechanical massage or listening to the mental training programmes, n=19), v) Control (not sitting in the armchair at all, n=17). In order to discover how the employees felt about their own health they were asked to respond to statements from the ""Swedish Scale of Personality"" (SSP), immediately before the randomisation, after four weeks and after eight weeks (end-of-study).There were no significant differences between the five study groups for any of the traits studied (""Somatic Trait Anxiety"", ""Psychic Trait Anxiety"", ""Stress Susceptibility"", ""Detachment"" and ""Social Desirability"") at any of the occasions. However, the massage group showed a significant decrease in the subscale ""Somatic Trait Anxiety"" (p=0.032), during the entire study period. Significant decreases in the same subscale were also observed in the pause group between start and week eight (p=0.040) as well as between week four and week eight (p=0.049) and also in the control group between the second and third data collection (p=0.014). The massage and mental training group showed a significant decrease in ""Stress Susceptibility"" between week four and week eight (p=0.022). The pause group showed a significant increase in the subscale ""Detachment"" (p=0.044).There were no significant differences between the five study groups for any of the traits studied. However, when looking at each individual group separately, positive effects in their levels of ""Anxiety"", ""Stress Susceptibility"" and ""Detachment"" could be seen. Although the results from this pilot study indicate some positive effects, mechanical chair massage and mental training programmes used in order to increase employee's ability to recover, needs to be evaluated further as tools to increase the employees ability to recover.ACTRN12615000020583 , Date of registration: 15/01/2015.",0
